"Date","Time (NZ)","Pool","Match Details","Locations","Stadium",
"Fri Sept 9",20.3,"A","New Zealand v Tonga","Auckland","Eden Park",
"Sat Sept 10",13,"B","Scotland v Romania","Invercargill","Rugby Park Stadium",
"Sat Sept 10",15.3,"D","Fiji v Namibia","Rotorua","Rotorua International Stadium",
"Sat Sept 10",18,"A","France v Japan","Auckland","North Harbour Stadium",
"Sat Sept 10",20.3,"B","Argentina v England","Dunedin","Otago Stadium",
"Sun Sept 11",15.3,"C","Australia v Italy","Auckland","North Harbour Stadium",
"Sun Sept 11",18,"C","Ireland v USA","New Plymouth","Stadium Taranaki",
"Sun Sept 11",20.3,"D","South Africa v Wales","Wellington","Wellington Regional Stadium",
"Wed Sept 14",14.3,"D","Samoa v Namibia","Rotorua","Rotorua International Stadium",
"Wed Sept 14",17,"A","Tonga v Canada","Whangarei","Northland Events Centre",
"Wed Sept 14",19.3,"B","Scotland v Georgia","Invercargill","Rugby Park Stadium",
"Thurs Sept 15",19.3,"C","Russia v USA","New Plymouth","Stadium Taranaki",
"Fri Sept 16",20,"A","New Zealand v Japan","Hamilton","Waikato Stadium",
"Sat Sept 17",15.3,"B","Argentina v Romania","Invercargill","Rugby Park Stadium",
"Sat Sept 17",18,"D","South Africa v Fiji","Wellington","Wellington Regional Stadium",
"Sat Sept 17",20.3,"C","Australia v Ireland","Auckland","Eden Park",
"Sun Sept 18",15.3,"D","Wales v Samoa","Hamilton","Waikato Stadium",
"Sun Sept 18",18,"B","England v Georgia","Dunedin","Otago Stadium",
"Sun Sept 18",20.3,"A","France v Canada","Napier","McLean Park",
"Tues Sept 20",19.3,"C","Italy v Russia","Nelson","Trafalgar Park",
"Wed Sept 21",19.3,"A","Tonga v Japan","Whangarei","Northland Events Centre",
"Thurs Sept 22",20,"D","South Africa v Namibia","Auckland","North Harbour Stadium",
"Fri Sept 23",20.3,"C","Australia v USA","Wellington","Wellington Regional Stadium",
"Sat Sept 24",18,"B","England v Romania","Dunedin","Otago Stadium",
"Sat Sept 24",20.3,"A","New Zealand v France","Auckland","Eden Park",
"Sun Sept 25",15.3,"D","Fiji v Samoa","Auckland","Eden Park",
"Sun Sept 25",18,"C","Ireland v Russia","Rotorua","Rotorua International Stadium",
"Sun Sept 25",20.3,"B","Argentina v Scotland","Wellington","Wellington Regional Stadium",
"Mon Sept 26",19.3,"D","Wales v Namibia","New Plymouth","Stadium Taranaki",
"Tues Sept 27",17,"A","Canada v Japan","Napier","McLean Park",
"Tues Sept 27",19.3,"C","Italy v USA","Nelson","Trafalgar Park",
"Wed Sept 28",19.3,"B","Georgia v Romania","Palmerston North","Arena Manawatu",
"Fri Sept 30",20.3,"D","South Africa v Samoa","Auckland","North Harbour Stadium",
2011/10/01,15.3,"C","Australia v Russia","Nelson","Trafalgar Park",
2011/10/01,18,"A","France v Tonga","Wellington","Wellington Regional Stadium",
2011/10/01,20.3,"B","England v Scotland","Auckland","Eden Park",
2011/10/02,13,"B","Argentina v Georgia","Palmerston North","Arena Manawatu",
2011/10/02,15.3,"A","New Zealand v Canada","Wellington","Wellington Regional Stadium",
2011/10/02,18,"D","Wales v Fiji","Hamilton","Waikato Stadium",
2011/10/02,20.3,"C","Ireland v Italy","Dunedin","Otago Stadium",
2011/10/08,18,"TBA","Win C v 2nd D","Wellington","Wellington Regional Stadium","Quarter 1"
2011/10/08,20.3,"TBA","Win B v 2nd A","Auckland","Eden Park","Quarter 2"
2011/10/09,18,"TBA","Win D v 2nd C","Wellington","Wellington Regional Stadium","Quarter 3"
2011/10/09,20.3,"TBA","Win A v 2nd B","Auckland","Eden Park","Quarter 4"
2011/10/15,21,"TBA","Quarter 1 v Quarter 2","Auckland","Eden Park","Semi 1"
2011/10/16,21,"TBA","Quarter 3 v Quarter 4","Auckland","Eden Park","Semi 2"
2011/10/21,20.3,"TBA","Bronze Final","Auckland","Eden Park","Bronze Final"
2011/10/23,21,"TBA","Final","Auckland","Eden Park","Final"
